abandon		    vt ทิ้ง ละทิ้ง
abbreviation	n ย่อ คำย่อ
abolish 		vt ล้มเลิก ยกเลิก ระงับ
absent			a ขาด ไม่มา
abundant		a มากมาย อุดทสมบูรณ์
accommodate		vt ปรับตัว ให้ความสะดวก
accomplish		vt ทำสำเร็จ
addict			a เสพติด
adhere			vi ติด ยึดมั่น
adjacent		a ติดกัน
adorn			vt ตกแต่ง
adverse	    	a ตรงกันข้าม ในทางลบ
aesthetic		a,n สวยงาม สุนทรีย์ หลักแห่งความงาม
affluent		a รั่ารวย
amplify	    	vt ขยาย
analysis		n การวิเคราะห์
anonymous		a ไม่เป็นที่เปิดเผย นิรนาม
assault	    	v,n เล่นงาน โจมดี ประทุษร้าย จู่โจม
assembly		n การรวมกลุ่ม การประกอบกัน
astonishing		a น่าแปลกใจ
attach			v ติดกัน ทำให้ติดกัน แนบ
attitude		n ทัศนคติ
attribute		n คุณลักษณะ
audacious		a กล้าหาญ
bankruptcy		n การล้มละลาย
bargain	    	v,n ต่อรอง การจต่อรอง
barrier	    	n อุปสรรค สิ่งกีดขวาง
behalf			n ในนามของ ตัวแทน
bestow			v ให้ มอบให้
betray			v ทรยศ หักหลัง
bilingual		a,n สามารถพูดหรือเขียนได้สองภาษา
binary			n ฐานสอง ทวิภาค
bizarre	    	a แปลกประหลาด
bland			a ขาดรสชาติ ที่ไม่น่าสนใจ จืด
bombard 		v ถล่ม กระหน่า
bother			v ทำให้เกิดปัญหา รบกวน
boycott	    	vt,n ควำบาตร การคว่ำบาตร
breakthrough	n การค้นพบที่ยิ่งใหญ่
budget			n งบประมาณ
bundle			n มัด ห่อ รวมชุด
candid			a ตรงไปตรงมา
candidate		n ผู้ท้าชิง ผู้รับสมัครคัดเลือกตั้ง
cannibalise		v กินเนื้อคน กินกันเอง
cascade	    	v,n ตกลงมาเหมือนน้ำตก น้ำตก
centennial		a,n ครบรอบร้อยปี ศตวรรษ
chronic	    	a ติดเป็นนิสัย เรื้อรัง
civil			a ที่เกี่ยวกับพลเมือง
compatible		a เข้ากันได้
compensation	n การชดเชย ค่าตอบแทน
conceal		    v ปกปิด
concede		    v ยอมรับ ยิดยอม
concur			vi เกิดในเวลาเดียวกัน กระทำร่วมกัน
condolence		n การแสดงความเสียใจ
consensus		n ความเป็นเอกฉันท์ การเห็นพ้อง
contribute		v ช่วยเหลือ สนับสนุน
convivial		a ที่ชอบสร้างสรรค์ ที่สนุกสนาน
cosmopolitan	a,n เกี่ยวกับสากลนิยม ทั่วโลก พลเมือง โลก
credence		n การยอมรับ
crucial		    a สำคัญมาก เกี่ยวกับความเป็นความตาย
cumbersome		a ยุ่งยาก เป็นภาระ
cynical		    a ดูถูก ถากถาง
debate on		n การโต้วาที โต้วาที
debt			n หนี้ หนี้สิน
decentralize	v การจายอำนาจจากจุดศูนย์กลาง
decline		    v ถดถ้อย เสื่อมลง ปฏิเสธ
dedicate		v อุทิตัว ถวาย
default		    n การผิดสัญญา ตัวเลือกอัตโนมัติ
delicate		a บอบบาง
denounce		v ประฌาม กล่าวโทษ
deputy			n ตัวแทน ผู้รักษาการแทน สมาชิกสภาผู้แทน
determine		v,a กำหนด ตัดสินใจ แน่วแน่
devastate		v ทำลายล้าง
devout			a ใจบุญ ศรัทธา
diminish		v ทำให้ลดลง
disaster		n หายนะ
dispatch		v ส่งของ ส่งออกไป
dosage			n ขนาดยา
drastic		    a รุนแรงมาก
dwindle		    v หด ถดถอย
eager			a กระตือรือร้น
earnest		    a จริงจัง ตั้งใจจริง
efficacious		a มีผล ได้ผล
eject			v ดันออก ขับไล่ ไล่ออก
election		n องค์ประกอบ
element		    n องค์ประกอบ
eligible		a มีคุณสมบัติเหมาะสม
eliminate		v กำจัด ตัดทิ้ง
empower		    v ให้อำนาจ มอบอำนาจ
embark	(for)	v เอาลงเรือ ขึ้นเครื่อง
empathy		    n ความรู้สึกร่วม อารมณ์ร่วม
emphasize		v เน้น ให้ความสำคัญ
enact			vt ออกกฏหมาย
endowment		n การบริจาค ความสามารถ
equilibrium		n ความสมดุล ความเท่าเทียม
expedite		vt เร่ง กระตุ้น
expense			n ค่าใช้จ่าย
